City,Cases,Deaths,Recovered,ReportDate
OKLAHOMA CITY,15676,168,13692,2020-10-07
TULSA,12211,122,10981,2020-10-07
NORMAN,3527,40,3112,2020-10-07
BROKEN ARROW,3418,34,3034,2020-10-07
EDMOND,3022,23,2537,2020-10-07
OTHER***,2120,15,1819,2020-10-07
STILLWATER,2055,5,1818,2020-10-07
ENID,1779,22,1449,2020-10-07
YUKON,1316,6,1096,2020-10-07
GUYMON,1307,10,1185,2020-10-07
CLAREMORE,1217,48,1002,2020-10-07
MOORE,1153,14,969,2020-10-07
LAWTON,1150,11,948,2020-10-07
OWASSO,938,3,820,2020-10-07
SHAWNEE,930,10,704,2020-10-07
TAHLEQUAH,881,4,716,2020-10-07
BARTLESVILLE,877,38,769,2020-10-07
FORT SUPPLY,870,2,827,2020-10-07
MUSKOGEE,865,18,639,2020-10-07
JENKS,853,4,786,2020-10-07
ALTUS,775,10,663,2020-10-07
MCALESTER,773,18,656,2020-10-07
TAFT,746,2,733,2020-10-07
BIXBY,732,5,638,2020-10-07
DURANT,695,2,584,2020-10-07
CHICKASHA,660,6,546,2020-10-07
MIAMI,578,5,497,2020-10-07
SAPULPA,572,12,481,2020-10-07
PONCA CITY,570,12,448,2020-10-07
BROKEN BOW,556,22,488,2020-10-07
SAND SPRINGS,540,5,454,2020-10-07
ARDMORE,512,7,435,2020-10-07
EL RENO,489,8,395,2020-10-07
HOMINY,470,2,210,2020-10-07
VINITA,466,1,423,2020-10-07
MUSTANG,463,2,389,2020-10-07
BETHANY,449,5,378,2020-10-07
STILWELL,439,8,346,2020-10-07
IDABEL,439,6,381,2020-10-07
CHOCTAW,426,3,349,2020-10-07
GLENPOOL,420,4,373,2020-10-07
LEXINGTON,416,5,352,2020-10-07
ADA,414,1,318,2020-10-07
BLANCHARD,399,1,311,2020-10-07
SALLISAW,390,4,329,2020-10-07
CLINTON,387,0,324,2020-10-07
COLLINSVILLE,373,1,327,2020-10-07
ANADARKO,372,6,309,2020-10-07
ELK CITY,367,3,250,2020-10-07
OKMULGEE,361,5,308,2020-10-07
MCLOUD,357,1,317,2020-10-07
WEATHERFORD,355,1,255,2020-10-07
COWETA,353,13,314,2020-10-07
GROVE,353,18,289,2020-10-07
SKIATOOK,350,8,309,2020-10-07
GUTHRIE,343,0,229,2020-10-07
POTEAU,341,5,254,2020-10-07
DUNCAN,318,3,269,2020-10-07
PURCELL,294,3,260,2020-10-07
ATOKA,290,0,245,2020-10-07
SEMINOLE,289,4,197,2020-10-07
SAYRE,276,5,101,2020-10-07
NEWCASTLE,266,3,209,2020-10-07
HENRYETTA,264,3,229,2020-10-07
TUTTLE,255,4,201,2020-10-07
HUGO,254,2,220,2020-10-07
MULDROW,251,3,190,2020-10-07
WAGONER,251,6,218,2020-10-07
PRYOR CREEK,241,4,186,2020-10-07
NOBLE,236,3,196,2020-10-07
TECUMSEH,236,0,174,2020-10-07
CUSHING,230,2,207,2020-10-07
HEAVENER,226,6,202,2020-10-07
HOLDENVILLE,218,3,193,2020-10-07
PIEDMONT,206,1,167,2020-10-07
SPIRO,206,1,179,2020-10-07
JAY,204,1,139,2020-10-07
WOODWARD,203,2,158,2020-10-07
BRISTOW,201,9,175,2020-10-07
HARRAH,192,1,140,2020-10-07
MIDWEST CITY,192,7,163,2020-10-07
WEWOKA,191,1,162,2020-10-07
EUFAULA,188,4,145,2020-10-07
WARR ACRES,181,0,168,2020-10-07
STIGLER,178,3,146,2020-10-07
CHECOTAH,172,3,145,2020-10-07
HENNESSEY,172,2,153,2020-10-07
HINTON,165,0,141,2020-10-07
PAULS VALLEY,159,1,142,2020-10-07
FORT GIBSON,150,4,104,2020-10-07
