City,Cases,Deaths,Recovered,ReportDate
OKLAHOMA CITY,16357,172,14243,2020-10-11
TULSA,12718,124,11290,2020-10-11
NORMAN,3694,40,3219,2020-10-11
BROKEN ARROW,3584,35,3136,2020-10-11
EDMOND,3221,23,2722,2020-10-11
OTHER***,2210,15,1906,2020-10-11
STILLWATER,2129,6,1905,2020-10-11
ENID,1893,22,1549,2020-10-11
YUKON,1441,6,1196,2020-10-11
GUYMON,1334,10,1225,2020-10-11
CLAREMORE,1250,49,1050,2020-10-11
LAWTON,1226,11,1020,2020-10-11
MOORE,1222,15,1025,2020-10-11
OWASSO,1005,3,861,2020-10-11
SHAWNEE,980,10,752,2020-10-11
MUSKOGEE,923,19,691,2020-10-11
BARTLESVILLE,923,38,790,2020-10-11
TAHLEQUAH,922,4,757,2020-10-11
FORT SUPPLY,883,2,865,2020-10-11
JENKS,879,5,805,2020-10-11
ALTUS,838,10,704,2020-10-11
MCALESTER,829,18,711,2020-10-11
BIXBY,767,5,668,2020-10-11
TAFT,746,2,733,2020-10-11
DURANT,743,2,618,2020-10-11
CHICKASHA,691,8,590,2020-10-11
MIAMI,639,6,520,2020-10-11
SAPULPA,597,12,506,2020-10-11
PONCA CITY,589,12,498,2020-10-11
BROKEN BOW,570,22,498,2020-10-11
SAND SPRINGS,570,5,484,2020-10-11
ARDMORE,542,7,455,2020-10-11
EL RENO,519,8,423,2020-10-11
MUSTANG,499,3,427,2020-10-11
VINITA,492,1,437,2020-10-11
HOMINY,479,2,358,2020-10-11
BETHANY,469,5,411,2020-10-11
STILWELL,455,8,358,2020-10-11
CHOCTAW,452,3,374,2020-10-11
ADA,451,1,354,2020-10-11
IDABEL,450,6,397,2020-10-11
GLENPOOL,440,4,391,2020-10-11
CLINTON,436,0,352,2020-10-11
BLANCHARD,436,1,334,2020-10-11
LEXINGTON,430,5,365,2020-10-11
ELK CITY,408,3,282,2020-10-11
SALLISAW,402,4,347,2020-10-11
WEATHERFORD,393,1,294,2020-10-11
COLLINSVILLE,392,1,343,2020-10-11
ANADARKO,388,6,322,2020-10-11
OKMULGEE,374,5,321,2020-10-11
