City,Cases,Deaths,Recovered,ReportDate
OKLAHOMA CITY,12015,148,10650,2020-09-10
TULSA,10022,102,8856,2020-09-10
BROKEN ARROW,2712,29,2355,2020-09-10
NORMAN,2537,35,1823,2020-09-10
EDMOND,2077,21,1774,2020-09-10
OTHER***,1575,12,1325,2020-09-10
STILLWATER,1330,3,906,2020-09-10
ENID,1156,15,857,2020-09-10
GUYMON,1016,7,932,2020-09-10
CLAREMORE,912,39,741,2020-09-10
YUKON,841,6,759,2020-09-10
MOORE,827,13,736,2020-09-10
LAWTON,808,11,710,2020-09-10
BARTLESVILLE,741,37,616,2020-09-10
JENKS,713,2,648,2020-09-10
TAFT,700,1,647,2020-09-10
OWASSO,685,2,593,2020-09-10
TAHLEQUAH,604,3,455,2020-09-10
ALTUS,577,9,519,2020-09-10
BIXBY,553,4,485,2020-09-10
MUSKOGEE,539,12,419,2020-09-10
SHAWNEE,526,8,417,2020-09-10
MCALESTER,483,17,398,2020-09-10
BROKEN BOW,462,22,382,2020-09-10
DURANT,424,1,358,2020-09-10
SAPULPA,407,8,344,2020-09-10
MIAMI,392,3,279,2020-09-10
SAND SPRINGS,377,4,312,2020-09-10
ARDMORE,375,6,326,2020-09-10
IDABEL,371,5,318,2020-09-10
LEXINGTON,354,3,312,2020-09-10
GLENPOOL,345,4,289,2020-09-10
STILWELL,343,8,245,2020-09-10
BETHANY,332,3,288,2020-09-10
EL RENO,320,4,264,2020-09-10
CHICKASHA,306,4,245,2020-09-10
PONCA CITY,301,9,227,2020-09-10
COWETA,290,13,253,2020-09-10
MCLOUD,289,1,254,2020-09-10
ANADARKO,282,5,237,2020-09-10
MUSTANG,282,2,252,2020-09-10
OKMULGEE,278,3,222,2020-09-10
SKIATOOK,278,8,234,2020-09-10
COLLINSVILLE,267,1,239,2020-09-10
GROVE,252,17,207,2020-09-10
SALLISAW,246,2,206,2020-09-10
CHOCTAW,242,3,207,2020-09-10
PURCELL,236,3,207,2020-09-10
ADA,224,1,186,2020-09-10
BLANCHARD,217,1,171,2020-09-10
CLINTON,214,0,185,2020-09-10
HENRYETTA,207,2,187,2020-09-10
DUNCAN,201,2,157,2020-09-10
WAGONER,199,5,169,2020-09-10
HUGO,194,2,175,2020-09-10
HEAVENER,184,2,148,2020-09-10
POTEAU,184,2,150,2020-09-10
HOMINY,183,2,169,2020-09-10
NOBLE,175,2,138,2020-09-10
CUSHING,174,2,146,2020-09-10
HOLDENVILLE,172,3,144,2020-09-10
GUTHRIE,171,0,141,2020-09-10
MULDROW,165,3,136,2020-09-10
TUTTLE,158,2,127,2020-09-10
SEMINOLE,155,3,124,2020-09-10
NEWCASTLE,154,1,128,2020-09-10
BRISTOW,152,6,128,2020-09-10
MIDWEST CITY,151,4,117,2020-09-10
WEWOKA,151,1,128,2020-09-10
WARR ACRES,147,0,135,2020-09-10
PRYOR CREEK,142,4,124,2020-09-10
HENNESSEY,138,2,123,2020-09-10
SPIRO,137,1,90,2020-09-10
ATOKA,135,0,99,2020-09-10
EUFAULA,135,2,109,2020-09-10
VINITA,132,1,79,2020-09-10
HINTON,126,0,122,2020-09-10
CLEVELAND,125,3,112,2020-09-10
PAULS VALLEY,123,1,115,2020-09-10
STIGLER,123,3,101,2020-09-10
WEATHERFORD,122,0,101,2020-09-10
JAY,121,1,112,2020-09-10
CHECOTAH,119,2,106,2020-09-10
VIAN,114,2,93,2020-09-10
TECUMSEH,112,0,74,2020-09-10
CATOOSA,110,0,97,2020-09-10
PIEDMONT,108,1,95,2020-09-10
SPENCER,106,1,92,2020-09-10
CHANDLER,104,8,86,2020-09-10
HOOKER,104,0,100,2020-09-10
KINGFISHER,102,0,85,2020-09-10
LOCUST GROVE,102,0,82,2020-09-10
AFTON,98,0,90,2020-09-10
MADILL,95,1,87,2020-09-10
ELK CITY,94,1,75,2020-09-10
WOODWARD,94,0,60,2020-09-10
DEL CITY,93,0,74,2020-09-10
SPERRY,93,2,77,2020-09-10
MOUNDS,91,2,79,2020-09-10
HARRAH,88,0,72,2020-09-10
FORT GIBSON,88,4,71,2020-09-10
INOLA,87,3,68,2020-09-10
CALERA,85,0,72,2020-09-10
WESTVILLE,84,2,76,2020-09-10
MANGUM,83,8,72,2020-09-10
HASKELL,82,1,72,2020-09-10
NICHOLS HILLS,82,0,66,2020-09-10
MARIETTA,82,0,67,2020-09-10
CHELSEA,82,0,72,2020-09-10
MANNFORD,80,3,64,2020-09-10
DEWEY,80,1,70,2020-09-10
ROLAND,79,0,69,2020-09-10
SALINA,78,1,63,2020-09-10
CHOUTEAU,75,5,58,2020-09-10
TALIHINA,75,3,65,2020-09-10
WRIGHT CITY,75,0,61,2020-09-10
NOWATA,74,2,60,2020-09-10
LINDSAY,73,2,62,2020-09-10
JONES,70,2,52,2020-09-10
WYANDOTTE,69,1,59,2020-09-10
PERKINS,68,1,52,2020-09-10
VALLIANT,66,1,54,2020-09-10
COMMERCE,66,0,59,2020-09-10
TEXHOMA,66,0,58,2020-09-10
PRAGUE,65,0,58,2020-09-10
MORRIS,65,0,56,2020-09-10
HULBERT,63,2,46,2020-09-10
OKEMAH,63,1,43,2020-09-10
POCOLA,63,3,56,2020-09-10
PAWNEE,62,0,60,2020-09-10
WASHINGTON,60,0,51,2020-09-10
SULPHUR,60,1,54,2020-09-10
ANTLERS,60,1,56,2020-09-10
TISHOMINGO,60,2,36,2020-09-10
FREDERICK,59,1,52,2020-09-10
KELLYVILLE,57,2,52,2020-09-10
COLCORD,57,1,52,2020-09-10
WILBURTON,57,1,53,2020-09-10
BEGGS,56,0,47,2020-09-10
OOLOGAH,56,0,50,2020-09-10
HARTSHORNE,55,0,52,2020-09-10
HAWORTH,54,2,46,2020-09-10
SAYRE,52,0,41,2020-09-10
WISTER,52,0,40,2020-09-10
STROUD,52,0,46,2020-09-10
KANSAS,50,2,37,2020-09-10
GOODWELL,50,0,33,2020-09-10
COMANCHE,49,1,36,2020-09-10
BINGER,48,9,37,2020-09-10
PERRY,48,0,40,2020-09-10
KINGSTON,47,0,38,2020-09-10
WALTERS,45,0,18,2020-09-10
PAWHUSKA,45,0,41,2020-09-10
COALGATE,45,0,37,2020-09-10
MARLOW,44,0,38,2020-09-10
WATONGA,43,0,35,2020-09-10
WETUMKA,43,0,37,2020-09-10
GORE,42,1,26,2020-09-10
FAIRLAND,42,0,40,2020-09-10
CADDO,41,0,33,2020-09-10
BLACKWELL,41,1,33,2020-09-10
HOWE,40,0,33,2020-09-10
LUTHER,40,0,33,2020-09-10
PORTER,39,0,32,2020-09-10
CACHE,39,0,34,2020-09-10
KIEFER,39,0,36,2020-09-10
CRESCENT,38,0,35,2020-09-10
QUAPAW,38,0,23,2020-09-10
HOLLIS,38,0,33,2020-09-10
MEAD,38,1,32,2020-09-10
BOKOSHE,38,0,32,2020-09-10
DAVIS,38,0,32,2020-09-10
APACHE,37,1,25,2020-09-10
ELGIN,37,0,35,2020-09-10
WATTS,36,0,30,2020-09-10
MEEKER,36,0,31,2020-09-10
QUINTON,36,0,30,2020-09-10
DRUMRIGHT,35,0,28,2020-09-10
OKARCHE,35,0,32,2020-09-10
RED ROCK,35,1,29,2020-09-10
COLBERT,35,0,34,2020-09-10
KONAWA,35,1,24,2020-09-10
KEOTA,33,0,24,2020-09-10
WAYNE,33,0,33,2020-09-10
WYNNEWOOD,33,1,21,2020-09-10
BARNSDALL,31,2,21,2020-09-10
WILSON,30,0,26,2020-09-10
FAIRVIEW,30,0,24,2020-09-10
MAYSVILLE,30,0,23,2020-09-10
PORUM,29,1,27,2020-09-10
CARNEGIE,29,1,22,2020-09-10
ARCADIA,28,0,24,2020-09-10
OCHELATA,28,1,26,2020-09-10
MOORELAND,28,0,24,2020-09-10
WARNER,28,0,22,2020-09-10
BIG CABIN,27,1,21,2020-09-10
TALALA,27,0,23,2020-09-10
FAIRFAX,27,0,27,2020-09-10
ALVA,27,0,20,2020-09-10
RAMONA,27,1,19,2020-09-10
FORT COBB,26,0,20,2020-09-10
HOBART,24,1,16,2020-09-10
CLAYTON,24,0,23,2020-09-10
EARLSBORO,24,0,20,2020-09-10
DEWAR,24,0,21,2020-09-10
BOSWELL,23,0,22,2020-09-10
WELCH,23,0,16,2020-09-10
CAMERON,23,0,20,2020-09-10
PADEN,23,0,22,2020-09-10
WEBBERS FALLS,23,0,15,2020-09-10
LONE GROVE,23,1,21,2020-09-10
COPAN,23,0,23,2020-09-10
ADAIR,23,0,18,2020-09-10
ELMORE CITY,23,0,21,2020-09-10
BLAIR,22,0,21,2020-09-10
TYRONE,22,0,17,2020-09-10
BOKCHITO,21,1,16,2020-09-10
OKTAHA,21,0,15,2020-09-10
WELLSTON,21,0,18,2020-09-10
GARVIN,21,0,16,2020-09-10
DELAWARE,21,0,13,2020-09-10
GERONIMO,21,0,19,2020-09-10
DEPEW,21,1,20,2020-09-10
GLENCOE,20,0,18,2020-09-10
GRACEMONT,19,1,18,2020-09-10
INDIAHOMA,19,0,13,2020-09-10
OLUSTEE,19,0,15,2020-09-10
MCCURTAIN,19,1,10,2020-09-10
GARBER,18,0,18,2020-09-10
CEMENT,18,0,13,2020-09-10
YALE,18,0,14,2020-09-10
MAUD,18,0,16,2020-09-10
FORT TOWSON,18,0,14,2020-09-10
TONKAWA,18,0,15,2020-09-10
FLETCHER,17,0,15,2020-09-10
STRATFORD,17,0,13,2020-09-10
ARKOMA,17,0,16,2020-09-10
KREBS,17,1,10,2020-09-10
MINCO,17,0,17,2020-09-10
NEWKIRK,17,1,12,2020-09-10
CANTON,17,1,7,2020-09-10
THOMAS,17,0,15,2020-09-10
HAILEYVILLE,16,0,14,2020-09-10
BOISE CITY,16,0,13,2020-09-10
RED OAK,16,0,14,2020-09-10
ALEX,16,0,12,2020-09-10
WELEETKA,16,1,12,2020-09-10
STONEWALL,16,1,14,2020-09-10
GANS,16,0,13,2020-09-10
RUSH SPRINGS,16,0,14,2020-09-10
JENNINGS,16,0,16,2020-09-10
TEMPLE,16,2,9,2020-09-10
MORRISON,16,0,13,2020-09-10
RINGLING,15,0,12,2020-09-10
MILBURN,15,1,11,2020-09-10
CASHION,15,0,14,2020-09-10
KIOWA,15,1,13,2020-09-10
BLUEJACKET,15,0,5,2020-09-10
CANADIAN,15,0,10,2020-09-10
ASHER,15,0,14,2020-09-10
TERLTON,15,0,12,2020-09-10
