City,Cases,Deaths,Recovered,ReportDate
OKLAHOMA CITY,8641,95,7219,2020-08-09
TULSA,7169,80,6115,2020-08-09
BROKEN ARROW,1810,24,1418,2020-08-09
EDMOND,1496,18,1306,2020-08-09
NORMAN,1469,31,1283,2020-08-09
GUYMON,868,7,850,2020-08-09
OTHER***,838,8,672,2020-08-09
YUKON,653,4,562,2020-08-09
MOORE,636,11,548,2020-08-09
LAWTON,615,9,549,2020-08-09
CLAREMORE,595,13,428,2020-08-09
JENKS,587,0,561,2020-08-09
STILLWATER,579,3,513,2020-08-09
BARTLESVILLE,503,37,417,2020-08-09
ALTUS,472,5,406,2020-08-09
OWASSO,442,2,377,2020-08-09
ENID,420,5,303,2020-08-09
BROKEN BOW,378,22,335,2020-08-09
BIXBY,361,2,312,2020-08-09
MUSKOGEE,354,12,255,2020-08-09
TAHLEQUAH,319,2,194,2020-08-09
SHAWNEE,302,8,228,2020-08-09
IDABEL,286,4,243,2020-08-09
DURANT,281,0,222,2020-08-09
ARDMORE,278,2,235,2020-08-09
SAPULPA,278,4,233,2020-08-09
GLENPOOL,261,1,231,2020-08-09
MCALESTER,256,3,119,2020-08-09
BETHANY,250,1,220,2020-08-09
SAND SPRINGS,239,3,183,2020-08-09
STILWELL,225,5,145,2020-08-09
CHICKASHA,224,4,202,2020-08-09
COWETA,211,13,163,2020-08-09
MIAMI,201,3,187,2020-08-09
PONCA CITY,196,8,167,2020-08-09
SKIATOOK,196,7,169,2020-08-09
MUSTANG,196,1,171,2020-08-09
EL RENO,183,1,145,2020-08-09
COLLINSVILLE,182,1,155,2020-08-09
OKMULGEE,177,2,143,2020-08-09
PURCELL,175,3,149,2020-08-09
GROVE,174,16,147,2020-08-09
LEXINGTON,170,1,154,2020-08-09
CHOCTAW,161,2,132,2020-08-09
ANADARKO,155,3,120,2020-08-09
ADA,154,0,126,2020-08-09
HUGO,150,1,132,2020-08-09
HENRYETTA,147,1,121,2020-08-09
SALLISAW,141,1,96,2020-08-09
BLANCHARD,136,1,122,2020-08-09
DUNCAN,131,2,97,2020-08-09
WAGONER,129,5,98,2020-08-09
WARR ACRES,127,0,106,2020-08-09
CLINTON,123,0,107,2020-08-09
GUTHRIE,115,0,101,2020-08-09
NOBLE,111,1,91,2020-08-09
NEWCASTLE,109,1,96,2020-08-09
HINTON,109,0,102,2020-08-09
PRYOR CREEK,105,2,86,2020-08-09
WEWOKA,104,1,72,2020-08-09
TUTTLE,103,2,87,2020-08-09
PAULS VALLEY,101,1,93,2020-08-09
MIDWEST CITY,98,2,77,2020-08-09
MULDROW,95,1,59,2020-08-09
HOLDENVILLE,94,2,69,2020-08-09
HOOKER,93,0,93,2020-08-09
BRISTOW,92,2,52,2020-08-09
SEMINOLE,91,3,61,2020-08-09
CUSHING,89,1,63,2020-08-09
CHECOTAH,89,1,74,2020-08-09
JAY,88,1,82,2020-08-09
PIEDMONT,82,1,73,2020-08-09
HEAVENER,81,0,37,2020-08-09
EUFAULA,81,0,61,2020-08-09
CATOOSA,81,0,57,2020-08-09
MANGUM,78,8,66,2020-08-09
MADILL,77,1,68,2020-08-09
CLEVELAND,70,3,56,2020-08-09
AFTON,69,0,62,2020-08-09
DEL CITY,69,0,54,2020-08-09
WEATHERFORD,69,0,62,2020-08-09
WESTVILLE,66,1,57,2020-08-09
LOCUST GROVE,66,0,55,2020-08-09
POTEAU,65,0,44,2020-08-09
SPENCER,65,1,54,2020-08-09
SPERRY,64,1,52,2020-08-09
KINGFISHER,61,0,49,2020-08-09
LINDSAY,60,2,47,2020-08-09
DEWEY,60,1,52,2020-08-09
VINITA,59,0,47,2020-08-09
WRIGHT CITY,59,0,46,2020-08-09
TALIHINA,59,1,41,2020-08-09
INOLA,59,2,44,2020-08-09
FORT GIBSON,57,3,47,2020-08-09
MOUNDS,55,1,48,2020-08-09
MCLOUD,55,1,39,2020-08-09
SALINA,54,1,37,2020-08-09
ATOKA,53,0,50,2020-08-09
HOMINY,53,2,43,2020-08-09
NICHOLS HILLS,53,0,48,2020-08-09
CALERA,52,0,41,2020-08-09
HARRAH,51,0,41,2020-08-09
MARIETTA,51,0,46,2020-08-09
CHELSEA,50,0,37,2020-08-09
KELLYVILLE,48,2,40,2020-08-09
CHOUTEAU,48,3,37,2020-08-09
MORRIS,48,0,34,2020-08-09
COMMERCE,47,0,44,2020-08-09
PAWNEE,46,0,41,2020-08-09
FREDERICK,46,1,42,2020-08-09
BINGER,46,9,37,2020-08-09
JONES,46,1,35,2020-08-09
WILBURTON,45,1,28,2020-08-09
SULPHUR,45,0,40,2020-08-09
TEXHOMA,45,0,36,2020-08-09
ELK CITY,45,1,28,2020-08-09
MANNFORD,45,1,33,2020-08-09
ANTLERS,44,0,29,2020-08-09
TECUMSEH,44,0,31,2020-08-09
HASKELL,43,0,34,2020-08-09
COLCORD,43,1,37,2020-08-09
HAWORTH,42,1,36,2020-08-09
SPIRO,41,0,29,2020-08-09
BEGGS,41,0,36,2020-08-09
VALLIANT,41,0,41,2020-08-09
OOLOGAH,41,0,38,2020-08-09
HULBERT,40,0,24,2020-08-09
PRAGUE,40,0,29,2020-08-09
VIAN,40,1,29,2020-08-09
WYANDOTTE,39,0,20,2020-08-09
HENNESSEY,38,0,24,2020-08-09
STROUD,35,0,24,2020-08-09
WASHINGTON,35,0,33,2020-08-09
PERKINS,35,0,33,2020-08-09
CHANDLER,34,1,25,2020-08-09
MARLOW,33,0,30,2020-08-09
PERRY,33,0,30,2020-08-09
STIGLER,33,0,18,2020-08-09
WOODWARD,32,0,29,2020-08-09
KIEFER,32,0,26,2020-08-09
PAWHUSKA,31,0,26,2020-08-09
COMANCHE,31,1,30,2020-08-09
KINGSTON,30,0,25,2020-08-09
WETUMKA,30,0,19,2020-08-09
