City,Cases,Deaths,Recovered,ReportDate
OKLAHOMA CITY,11312,137,9863,2020-09-02
TULSA,9246,95,8124,2020-09-02
BROKEN ARROW,2470,28,2141,2020-09-02
NORMAN,1965,34,1641,2020-09-02
EDMOND,1865,20,1637,2020-09-02
OTHER***,1377,8,1184,2020-09-02
STILLWATER,990,3,695,2020-09-02
ENID,966,12,645,2020-09-02
GUYMON,943,7,889,2020-09-02
CLAREMORE,817,38,664,2020-09-02
YUKON,793,7,718,2020-09-02
MOORE,779,13,684,2020-09-02
LAWTON,761,10,690,2020-09-02
JENKS,668,2,622,2020-09-02
BARTLESVILLE,660,37,565,2020-09-02
TAFT,657,0,30,2020-09-02
OWASSO,617,2,531,2020-09-02
ALTUS,540,9,508,2020-09-02
TAHLEQUAH,519,3,383,2020-09-02
BIXBY,501,4,438,2020-09-02
MUSKOGEE,489,12,370,2020-09-02
SHAWNEE,457,8,355,2020-09-02
MCALESTER,433,15,355,2020-09-02
BROKEN BOW,426,22,366,2020-09-02
DURANT,377,1,332,2020-09-02
SAPULPA,371,8,319,2020-09-02
IDABEL,350,5,288,2020-09-02
ARDMORE,346,4,311,2020-09-02
LEXINGTON,339,2,230,2020-09-02
SAND SPRINGS,325,4,279,2020-09-02
GLENPOOL,315,4,272,2020-09-02
BETHANY,314,2,272,2020-09-02
STILWELL,313,8,224,2020-09-02
MIAMI,299,3,249,2020-09-02
EL RENO,291,3,209,2020-09-02
MCLOUD,275,1,173,2020-09-02
COWETA,274,13,244,2020-09-02
MUSTANG,257,2,225,2020-09-02
PONCA CITY,256,9,202,2020-09-02
CHICKASHA,255,4,232,2020-09-02
ANADARKO,253,5,201,2020-09-02
OKMULGEE,247,2,206,2020-09-02
SKIATOOK,245,8,216,2020-09-02
COLLINSVILLE,243,1,220,2020-09-02
GROVE,230,17,189,2020-09-02
PURCELL,222,3,193,2020-09-02
CHOCTAW,219,2,191,2020-09-02
SALLISAW,218,2,181,2020-09-02
HENRYETTA,198,2,168,2020-09-02
ADA,193,1,167,2020-09-02
HUGO,188,2,158,2020-09-02
CLINTON,186,0,151,2020-09-02
BLANCHARD,182,1,151,2020-09-02
WAGONER,182,5,150,2020-09-02
HOMINY,173,2,163,2020-09-02
DUNCAN,167,2,144,2020-09-02
HEAVENER,164,2,118,2020-09-02
POTEAU,163,1,124,2020-09-02
CUSHING,157,1,112,2020-09-02
HOLDENVILLE,152,3,128,2020-09-02
GUTHRIE,150,0,125,2020-09-02
MULDROW,150,3,123,2020-09-02
TUTTLE,146,2,118,2020-09-02
NOBLE,146,2,125,2020-09-02
WEWOKA,141,1,111,2020-09-02
WARR ACRES,141,0,128,2020-09-02
NEWCASTLE,138,1,122,2020-09-02
SEMINOLE,138,3,111,2020-09-02
BRISTOW,137,5,124,2020-09-02
PRYOR CREEK,132,4,115,2020-09-02
MIDWEST CITY,128,4,107,2020-09-02
HENNESSEY,126,2,101,2020-09-02
HINTON,125,0,119,2020-09-02
EUFAULA,122,2,103,2020-09-02
CLEVELAND,119,3,101,2020-09-02
ATOKA,118,0,68,2020-09-02
PAULS VALLEY,117,1,111,2020-09-02
JAY,114,1,106,2020-09-02
STIGLER,113,3,92,2020-09-02
CHECOTAH,111,2,99,2020-09-02
WEATHERFORD,104,0,89,2020-09-02
HOOKER,101,0,95,2020-09-02
CATOOSA,100,0,92,2020-09-02
VIAN,99,2,86,2020-09-02
PIEDMONT,99,1,92,2020-09-02
SPENCER,98,1,82,2020-09-02
CHANDLER,97,7,83,2020-09-02
AFTON,94,0,84,2020-09-02
MADILL,91,1,85,2020-09-02
KINGFISHER,89,0,77,2020-09-02
LOCUST GROVE,89,0,75,2020-09-02
SPIRO,89,1,63,2020-09-02
VINITA,86,1,67,2020-09-02
DEL CITY,86,0,68,2020-09-02
TECUMSEH,86,0,54,2020-09-02
ELK CITY,82,1,67,2020-09-02
SPERRY,82,2,68,2020-09-02
MOUNDS,82,2,69,2020-09-02
MANGUM,82,8,70,2020-09-02
WESTVILLE,80,2,67,2020-09-02
FORT GIBSON,78,4,65,2020-09-02
HASKELL,76,1,66,2020-09-02
HARRAH,76,0,63,2020-09-02
INOLA,76,3,65,2020-09-02
CALERA,75,0,64,2020-09-02
SALINA,74,1,58,2020-09-02
CHELSEA,73,0,64,2020-09-02
DEWEY,73,1,66,2020-09-02
WRIGHT CITY,72,0,59,2020-09-02
MANNFORD,71,1,55,2020-09-02
ROLAND,70,0,41,2020-09-02
TALIHINA,69,2,62,2020-09-02
WOODWARD,69,0,47,2020-09-02
NICHOLS HILLS,68,0,61,2020-09-02
LINDSAY,67,2,61,2020-09-02
MARIETTA,67,0,54,2020-09-02
NOWATA,65,1,44,2020-09-02
CHOUTEAU,65,4,52,2020-09-02
PAWNEE,63,0,59,2020-09-02
COMMERCE,62,0,55,2020-09-02
WYANDOTTE,61,1,50,2020-09-02
POCOLA,60,1,42,2020-09-02
PRAGUE,59,0,57,2020-09-02
ANTLERS,59,1,53,2020-09-02
TEXHOMA,59,0,58,2020-09-02
JONES,58,2,46,2020-09-02
VALLIANT,57,0,44,2020-09-02
MORRIS,57,0,50,2020-09-02
PERKINS,57,1,39,2020-09-02
FREDERICK,56,1,48,2020-09-02
HULBERT,55,2,42,2020-09-02
KELLYVILLE,55,2,49,2020-09-02
SULPHUR,55,1,52,2020-09-02
HARTSHORNE,55,0,47,2020-09-02
COLCORD,55,1,50,2020-09-02
WILBURTON,55,1,51,2020-09-02
WASHINGTON,55,0,44,2020-09-02
OKEMAH,53,1,39,2020-09-02
HAWORTH,52,2,42,2020-09-02
OOLOGAH,51,0,46,2020-09-02
BEGGS,49,0,45,2020-09-02
STROUD,48,0,42,2020-09-02
BINGER,46,9,37,2020-09-02
PERRY,45,0,34,2020-09-02
WISTER,45,0,32,2020-09-02
COALGATE,44,0,34,2020-09-02
TISHOMINGO,43,1,26,2020-09-02
SAYRE,42,0,41,2020-09-02
WETUMKA,42,0,33,2020-09-02
PAWHUSKA,41,0,38,2020-09-02
KINGSTON,40,0,36,2020-09-02
MARLOW,40,0,36,2020-09-02
COMANCHE,38,1,32,2020-09-02
KANSAS,38,2,26,2020-09-02
FAIRLAND,38,0,34,2020-09-02
HOLLIS,38,0,27,2020-09-02
GOODWELL,36,0,16,2020-09-02
CACHE,36,0,32,2020-09-02
WATONGA,36,0,23,2020-09-02
CRESCENT,35,0,33,2020-09-02
KIEFER,35,0,33,2020-09-02
MEAD,35,1,32,2020-09-02
ELGIN,35,0,33,2020-09-02
BLACKWELL,35,1,30,2020-09-02
COLBERT,35,0,30,2020-09-02
