City,Cases,Deaths,Recovered,ReportDate
OKLAHOMA CITY,11382,138,9978,2020-09-03
TULSA,9363,95,8273,2020-09-03
BROKEN ARROW,2506,28,2174,2020-09-03
NORMAN,2033,34,1661,2020-09-03
EDMOND,1898,21,1653,2020-09-03
OTHER***,1428,10,1194,2020-09-03
STILLWATER,1063,3,715,2020-09-03
ENID,997,12,674,2020-09-03
GUYMON,949,7,892,2020-09-03
CLAREMORE,826,39,672,2020-09-03
YUKON,801,7,727,2020-09-03
MOORE,783,13,693,2020-09-03
LAWTON,759,10,688,2020-09-03
TAFT,678,0,32,2020-09-03
BARTLESVILLE,671,37,570,2020-09-03
JENKS,671,2,626,2020-09-03
OWASSO,631,2,538,2020-09-03
ALTUS,544,9,507,2020-09-03
TAHLEQUAH,533,3,389,2020-09-03
BIXBY,510,4,445,2020-09-03
MUSKOGEE,493,12,377,2020-09-03
SHAWNEE,463,8,366,2020-09-03
MCALESTER,435,16,360,2020-09-03
BROKEN BOW,432,22,370,2020-09-03
DURANT,383,1,337,2020-09-03
SAPULPA,373,8,324,2020-09-03
IDABEL,357,5,289,2020-09-03
ARDMORE,347,5,313,2020-09-03
LEXINGTON,342,2,234,2020-09-03
SAND SPRINGS,335,4,280,2020-09-03
STILWELL,322,8,228,2020-09-03
GLENPOOL,319,4,276,2020-09-03
BETHANY,316,2,274,2020-09-03
MIAMI,307,3,252,2020-09-03
EL RENO,292,3,217,2020-09-03
MCLOUD,275,1,252,2020-09-03
COWETA,274,13,245,2020-09-03
PONCA CITY,265,9,207,2020-09-03
ANADARKO,259,5,205,2020-09-03
MUSTANG,258,2,227,2020-09-03
CHICKASHA,258,4,236,2020-09-03
OKMULGEE,253,3,208,2020-09-03
SKIATOOK,249,8,219,2020-09-03
COLLINSVILLE,244,1,222,2020-09-03
GROVE,232,17,191,2020-09-03
PURCELL,224,3,197,2020-09-03
CHOCTAW,221,2,193,2020-09-03
SALLISAW,219,2,185,2020-09-03
HENRYETTA,198,2,173,2020-09-03
ADA,197,1,168,2020-09-03
HUGO,189,2,161,2020-09-03
BLANCHARD,188,1,154,2020-09-03
CLINTON,188,0,156,2020-09-03
WAGONER,184,5,151,2020-09-03
HOMINY,173,2,163,2020-09-03
DUNCAN,169,2,146,2020-09-03
HEAVENER,168,2,120,2020-09-03
POTEAU,165,1,126,2020-09-03
CUSHING,160,2,115,2020-09-03
HOLDENVILLE,153,3,129,2020-09-03
GUTHRIE,152,0,129,2020-09-03
MULDROW,151,3,126,2020-09-03
TUTTLE,147,2,119,2020-09-03
NOBLE,146,2,125,2020-09-03
WEWOKA,143,1,112,2020-09-03
NEWCASTLE,142,1,122,2020-09-03
WARR ACRES,141,0,129,2020-09-03
SEMINOLE,140,3,114,2020-09-03
BRISTOW,138,5,123,2020-09-03
PRYOR CREEK,135,4,116,2020-09-03
HENNESSEY,127,2,106,2020-09-03
MIDWEST CITY,127,4,106,2020-09-03
HINTON,125,0,118,2020-09-03
EUFAULA,122,2,106,2020-09-03
CLEVELAND,120,3,102,2020-09-03
ATOKA,119,0,71,2020-09-03
PAULS VALLEY,118,1,112,2020-09-03
JAY,115,1,108,2020-09-03
STIGLER,112,3,93,2020-09-03
CHECOTAH,111,2,100,2020-09-03
WEATHERFORD,105,0,92,2020-09-03
SPIRO,103,1,67,2020-09-03
CATOOSA,102,0,93,2020-09-03
HOOKER,101,0,96,2020-09-03
VIAN,100,2,89,2020-09-03
PIEDMONT,100,1,92,2020-09-03
SPENCER,99,1,82,2020-09-03
CHANDLER,98,8,83,2020-09-03
VINITA,97,1,68,2020-09-03
AFTON,94,0,84,2020-09-03
MADILL,91,1,85,2020-09-03
LOCUST GROVE,90,0,77,2020-09-03
KINGFISHER,87,0,78,2020-09-03
TECUMSEH,87,0,57,2020-09-03
DEL CITY,86,0,70,2020-09-03
SPERRY,85,2,71,2020-09-03
ELK CITY,85,1,69,2020-09-03
MOUNDS,83,2,69,2020-09-03
MANGUM,82,8,70,2020-09-03
WESTVILLE,82,2,67,2020-09-03
FORT GIBSON,78,4,65,2020-09-03
HARRAH,78,0,63,2020-09-03
INOLA,78,3,66,2020-09-03
CALERA,78,0,66,2020-09-03
HASKELL,76,1,69,2020-09-03
SALINA,74,1,60,2020-09-03
ROLAND,73,0,44,2020-09-03
CHELSEA,73,0,65,2020-09-03
DEWEY,73,1,67,2020-09-03
WRIGHT CITY,72,0,59,2020-09-03
MANNFORD,71,1,55,2020-09-03
MARIETTA,71,0,56,2020-09-03
NICHOLS HILLS,70,0,62,2020-09-03
WOODWARD,70,0,47,2020-09-03
TALIHINA,70,2,63,2020-09-03
CHOUTEAU,66,5,53,2020-09-03
NOWATA,66,1,44,2020-09-03
LINDSAY,66,2,61,2020-09-03
PAWNEE,63,0,59,2020-09-03
JONES,62,2,48,2020-09-03
PRAGUE,62,0,57,2020-09-03
WYANDOTTE,62,1,50,2020-09-03
POCOLA,61,2,43,2020-09-03
COMMERCE,61,0,54,2020-09-03
TEXHOMA,60,0,58,2020-09-03
MORRIS,60,0,51,2020-09-03
PERKINS,59,1,44,2020-09-03
ANTLERS,59,1,53,2020-09-03
VALLIANT,58,0,45,2020-09-03
HULBERT,57,2,42,2020-09-03
OKEMAH,57,1,39,2020-09-03
FREDERICK,57,1,50,2020-09-03
KELLYVILLE,56,2,49,2020-09-03
WASHINGTON,55,0,44,2020-09-03
WILBURTON,55,1,51,2020-09-03
HARTSHORNE,55,0,48,2020-09-03
COLCORD,55,1,50,2020-09-03
SULPHUR,55,1,52,2020-09-03
HAWORTH,54,2,42,2020-09-03
OOLOGAH,51,0,48,2020-09-03
BEGGS,50,0,45,2020-09-03
TISHOMINGO,49,2,29,2020-09-03
STROUD,49,0,43,2020-09-03
WISTER,46,0,35,2020-09-03
BINGER,46,9,37,2020-09-03
PERRY,46,0,35,2020-09-03
COALGATE,43,0,34,2020-09-03
SAYRE,42,0,41,2020-09-03
WETUMKA,42,0,33,2020-09-03
KINGSTON,41,0,36,2020-09-03
PAWHUSKA,41,0,39,2020-09-03
COMANCHE,40,1,33,2020-09-03
WATONGA,40,0,24,2020-09-03
MARLOW,40,0,36,2020-09-03
FAIRLAND,40,0,34,2020-09-03
KANSAS,38,2,27,2020-09-03
HOLLIS,38,0,32,2020-09-03
GOODWELL,37,0,16,2020-09-03
KIEFER,37,0,33,2020-09-03
CACHE,36,0,32,2020-09-03
APACHE,36,1,24,2020-09-03
BLACKWELL,35,1,30,2020-09-03
HOWE,35,0,30,2020-09-03
CRESCENT,35,0,33,2020-09-03
COLBERT,35,0,30,2020-09-03
MEAD,35,1,32,2020-09-03
ELGIN,35,0,34,2020-09-03
BOKOSHE,34,0,29,2020-09-03
CADDO,33,0,29,2020-09-03
OKARCHE,33,0,31,2020-09-03
WAYNE,33,0,33,2020-09-03
DAVIS,33,0,32,2020-09-03
PORTER,33,0,28,2020-09-03
DRUMRIGHT,33,0,20,2020-09-03
LUTHER,33,0,30,2020-09-03
MEEKER,32,0,28,2020-09-03
QUINTON,32,0,28,2020-09-03
WATTS,31,0,26,2020-09-03
RED ROCK,31,1,26,2020-09-03
KONAWA,31,1,20,2020-09-03
GORE,30,1,25,2020-09-03
PORUM,29,1,24,2020-09-03
OCHELATA,28,1,26,2020-09-03
WILSON,27,0,24,2020-09-03
MAYSVILLE,27,0,23,2020-09-03
KEOTA,27,0,22,2020-09-03
FAIRFAX,27,0,27,2020-09-03
FAIRVIEW,26,0,22,2020-09-03
QUAPAW,26,0,19,2020-09-03
ARCADIA,25,0,24,2020-09-03
FORT COBB,24,0,19,2020-09-03
CLAYTON,24,0,22,2020-09-03
WARNER,24,0,14,2020-09-03
PADEN,24,0,21,2020-09-03
CARNEGIE,24,1,20,2020-09-03
BARNSDALL,24,2,21,2020-09-03
MOORELAND,24,0,17,2020-09-03
DEWAR,24,0,18,2020-09-03
WYNNEWOOD,24,1,18,2020-09-03
TALALA,23,0,23,2020-09-03
RAMONA,23,1,17,2020-09-03
BOSWELL,23,0,20,2020-09-03
WALTERS,23,0,14,2020-09-03
COPAN,23,0,23,2020-09-03
BIG CABIN,22,1,20,2020-09-03
BLAIR,22,0,20,2020-09-03
LONE GROVE,22,1,19,2020-09-03
ELMORE CITY,21,0,21,2020-09-03
DEPEW,21,1,17,2020-09-03
GERONIMO,21,0,19,2020-09-03
ADAIR,21,0,17,2020-09-03
CAMERON,21,0,19,2020-09-03
EARLSBORO,20,0,16,2020-09-03
BOKCHITO,20,1,14,2020-09-03
ALVA,20,0,18,2020-09-03
WEBBERS FALLS,20,0,12,2020-09-03
GRACEMONT,19,1,18,2020-09-03
HOBART,19,0,15,2020-09-03
GLENCOE,19,0,18,2020-09-03
WELCH,18,0,13,2020-09-03
GARVIN,18,0,16,2020-09-03
TYRONE,18,0,15,2020-09-03
WELLSTON,18,0,13,2020-09-03
GARBER,18,0,14,2020-09-03
FORT TOWSON,17,0,14,2020-09-03
MINCO,17,0,14,2020-09-03
OKTAHA,17,0,14,2020-09-03
MAUD,17,0,15,2020-09-03
OLUSTEE,17,0,15,2020-09-03
ARKOMA,17,0,16,2020-09-03
YALE,16,0,14,2020-09-03
THOMAS,16,0,10,2020-09-03
WELEETKA,16,1,12,2020-09-03
MCCURTAIN,16,1,9,2020-09-03
RUSH SPRINGS,16,0,14,2020-09-03
TONKAWA,16,0,15,2020-09-03
INDIAHOMA,16,0,13,2020-09-03
JENNINGS,15,0,14,2020-09-03
TERLTON,15,0,10,2020-09-03
STONEWALL,15,1,13,2020-09-03
HAILEYVILLE,15,0,12,2020-09-03
NEWKIRK,15,1,10,2020-09-03
GANS,15,0,12,2020-09-03
CASHION,15,0,14,2020-09-03
DELAWARE,15,0,11,2020-09-03
FLETCHER,15,0,13,2020-09-03
CEMENT,14,0,13,2020-09-03
CYRIL,14,1,13,2020-09-03
RINGWOOD,14,0,8,2020-09-03
MORRISON,14,0,12,2020-09-03
STRATFORD,14,0,11,2020-09-03
BEAVER,14,0,11,2020-09-03
ASHER,14,0,14,2020-09-03
KIOWA,14,1,13,2020-09-03
ALEX,14,0,12,2020-09-03
GEARY,14,0,13,2020-09-03
WAURIKA,14,0,13,2020-09-03
RINGLING,13,0,10,2020-09-03
RED OAK,13,0,12,2020-09-03
MILBURN,13,0,10,2020-09-03
PAOLI,13,0,9,2020-09-03
ALLEN,13,1,12,2020-09-03
BOISE CITY,12,0,12,2020-09-03
KREBS,12,1,9,2020-09-03
TIPTON,12,0,12,2020-09-03
SEILING,12,0,11,2020-09-03
WAUKOMIS,12,0,9,2020-09-03
TEMPLE,12,2,9,2020-09-03
ARAPAHO,12,0,8,2020-09-03
NEW CORDELL,12,0,7,2020-09-03
ACHILLE,11,0,7,2020-09-03
KINTA,11,0,6,2020-09-03
BURNS FLAT,11,0,11,2020-09-03
ROFF,11,0,9,2020-09-03
CANEY,11,0,7,2020-09-03
PANAMA,11,1,9,2020-09-03
KAW CITY,11,1,10,2020-09-03
SASAKWA,11,0,8,2020-09-03
SHADY POINT,11,0,10,2020-09-03
BENNINGTON,10,0,10,2020-09-03
CHEYENNE,10,1,7,2020-09-03
THACKERVILLE,10,0,8,2020-09-03
HYDRO,10,0,7,2020-09-03
MEDFORD,10,0,6,2020-09-03
LOOKEBA,10,2,7,2020-09-03
NORTH MIAMI,10,0,9,2020-09-03
CARNEY,10,0,10,2020-09-03
OSAGE,10,0,8,2020-09-03
HELENA,10,0,7,2020-09-03
BLUEJACKET,10,0,3,2020-09-03
CANTON,10,1,7,2020-09-03
AMBER,10,0,10,2020-09-03
HEALDTON,10,0,7,2020-09-03
MANNSVILLE,9,0,9,2020-09-03
SAVANNA,9,0,9,2020-09-03
WANETTE,9,0,8,2020-09-03
RYAN,9,0,8,2020-09-03
CANADIAN,9,0,8,2020-09-03
SNYDER,9,0,7,2020-09-03
