City,Cases,Deaths,Recovered,ReportDate
OKLAHOMA CITY,11110,134,9630,2020-08-31
TULSA,9039,94,7910,2020-08-31
BROKEN ARROW,2389,27,2085,2020-08-31
NORMAN,1899,34,1609,2020-08-31
EDMOND,1828,20,1601,2020-08-31
OTHER***,1359,8,1136,2020-08-31
STILLWATER,940,3,664,2020-08-31
ENID,921,12,584,2020-08-31
GUYMON,921,7,886,2020-08-31
CLAREMORE,807,38,640,2020-08-31
YUKON,784,6,702,2020-08-31
MOORE,771,13,668,2020-08-31
LAWTON,744,10,681,2020-08-31
JENKS,657,2,614,2020-08-31
TAFT,656,0,20,2020-08-31
BARTLESVILLE,654,37,552,2020-08-31
OWASSO,596,2,520,2020-08-31
ALTUS,539,9,504,2020-08-31
TAHLEQUAH,510,3,357,2020-08-31
BIXBY,488,4,422,2020-08-31
MUSKOGEE,469,12,360,2020-08-31
SHAWNEE,448,8,343,2020-08-31
BROKEN BOW,420,22,358,2020-08-31
MCALESTER,416,14,342,2020-08-31
DURANT,367,1,321,2020-08-31
SAPULPA,361,8,314,2020-08-31
IDABEL,346,4,279,2020-08-31
ARDMORE,342,4,303,2020-08-31
LEXINGTON,337,2,222,2020-08-31
SAND SPRINGS,317,4,266,2020-08-31
GLENPOOL,308,3,267,2020-08-31
BETHANY,308,2,267,2020-08-31
STILWELL,297,7,215,2020-08-31
EL RENO,289,3,200,2020-08-31
MIAMI,288,3,240,2020-08-31
MCLOUD,271,1,170,2020-08-31
COWETA,267,13,237,2020-08-31
MUSTANG,255,2,221,2020-08-31
CHICKASHA,252,4,229,2020-08-31
ANADARKO,250,5,190,2020-08-31
PONCA CITY,241,9,200,2020-08-31
COLLINSVILLE,241,1,212,2020-08-31
SKIATOOK,239,8,207,2020-08-31
OKMULGEE,233,2,196,2020-08-31
GROVE,226,17,181,2020-08-31
PURCELL,222,3,187,2020-08-31
SALLISAW,218,2,171,2020-08-31
CHOCTAW,215,2,188,2020-08-31
HENRYETTA,198,2,166,2020-08-31
ADA,189,1,165,2020-08-31
CLINTON,186,0,140,2020-08-31
HUGO,183,1,157,2020-08-31
WAGONER,179,5,145,2020-08-31
BLANCHARD,176,1,147,2020-08-31
HOMINY,172,2,163,2020-08-31
DUNCAN,167,2,138,2020-08-31
HEAVENER,157,1,108,2020-08-31
CUSHING,151,1,104,2020-08-31
HOLDENVILLE,150,2,123,2020-08-31
POTEAU,149,1,110,2020-08-31
MULDROW,149,3,117,2020-08-31
GUTHRIE,148,0,122,2020-08-31
NOBLE,142,1,125,2020-08-31
TUTTLE,142,2,116,2020-08-31
WARR ACRES,139,0,127,2020-08-31
SEMINOLE,138,3,108,2020-08-31
BRISTOW,136,5,123,2020-08-31
NEWCASTLE,134,1,122,2020-08-31
WEWOKA,134,1,110,2020-08-31
PRYOR CREEK,130,4,115,2020-08-31
MIDWEST CITY,127,4,105,2020-08-31
HENNESSEY,124,1,61,2020-08-31
HINTON,124,0,118,2020-08-31
EUFAULA,120,2,98,2020-08-31
CLEVELAND,119,3,96,2020-08-31
PAULS VALLEY,117,1,110,2020-08-31
JAY,113,1,106,2020-08-31
CHECOTAH,110,2,97,2020-08-31
STIGLER,109,3,89,2020-08-31
WEATHERFORD,101,0,85,2020-08-31
CATOOSA,101,0,92,2020-08-31
VIAN,99,2,82,2020-08-31
HOOKER,99,0,94,2020-08-31
PIEDMONT,97,1,91,2020-08-31
CHANDLER,97,7,76,2020-08-31
SPENCER,97,1,80,2020-08-31
AFTON,89,0,81,2020-08-31
KINGFISHER,89,0,73,2020-08-31
MADILL,89,1,85,2020-08-31
LOCUST GROVE,87,0,73,2020-08-31
MANGUM,82,8,69,2020-08-31
DEL CITY,82,0,66,2020-08-31
TECUMSEH,82,0,53,2020-08-31
SPERRY,80,2,66,2020-08-31
MOUNDS,80,1,64,2020-08-31
ELK CITY,79,1,62,2020-08-31
SPIRO,79,1,54,2020-08-31
VINITA,79,1,65,2020-08-31
WESTVILLE,78,1,66,2020-08-31
FORT GIBSON,77,4,63,2020-08-31
ATOKA,77,0,67,2020-08-31
CALERA,75,0,62,2020-08-31
HASKELL,75,0,63,2020-08-31
SALINA,74,1,56,2020-08-31
WRIGHT CITY,72,0,58,2020-08-31
INOLA,72,3,64,2020-08-31
DEWEY,72,1,65,2020-08-31
MANNFORD,71,1,55,2020-08-31
CHELSEA,71,0,64,2020-08-31
HARRAH,71,0,63,2020-08-31
WOODWARD,68,0,43,2020-08-31
TALIHINA,67,2,61,2020-08-31
ROLAND,67,0,33,2020-08-31
MARIETTA,66,0,53,2020-08-31
LINDSAY,65,2,61,2020-08-31
NICHOLS HILLS,65,0,59,2020-08-31
CHOUTEAU,64,4,51,2020-08-31
PAWNEE,63,0,56,2020-08-31
NOWATA,62,1,38,2020-08-31
WYANDOTTE,60,1,50,2020-08-31
COMMERCE,59,0,55,2020-08-31
