City,Cases,Deaths,Recovered,ReportDate
OKLAHOMA CITY,12619,152,11043,2020-09-15
TULSA,10397,105,9261,2020-09-15
BROKEN ARROW,2826,30,2475,2020-09-15
NORMAN,2740,35,2077,2020-09-15
EDMOND,2222,21,1906,2020-09-15
OTHER***,1703,13,1415,2020-09-15
STILLWATER,1536,3,1114,2020-09-15
ENID,1283,17,966,2020-09-15
GUYMON,1059,8,959,2020-09-15
CLAREMORE,967,43,773,2020-09-15
YUKON,891,6,799,2020-09-15
MOORE,881,13,762,2020-09-15
LAWTON,833,11,735,2020-09-15
BARTLESVILLE,766,37,659,2020-09-15
TAFT,744,2,690,2020-09-15
OWASSO,740,2,633,2020-09-15
JENKS,731,2,672,2020-09-15
TAHLEQUAH,663,3,503,2020-09-15
MCALESTER,632,17,432,2020-09-15
MUSKOGEE,593,12,442,2020-09-15
ALTUS,592,10,529,2020-09-15
SHAWNEE,587,8,459,2020-09-15
BIXBY,579,4,508,2020-09-15
BROKEN BOW,480,22,400,2020-09-15
DURANT,476,1,389,2020-09-15
SAPULPA,441,10,363,2020-09-15
MIAMI,434,3,323,2020-09-15
SAND SPRINGS,407,5,338,2020-09-15
ARDMORE,397,6,345,2020-09-15
CHICKASHA,383,4,262,2020-09-15
IDABEL,379,5,336,2020-09-15
LEXINGTON,366,4,318,2020-09-15
STILWELL,360,8,266,2020-09-15
GLENPOOL,353,4,311,2020-09-15
BETHANY,352,4,301,2020-09-15
EL RENO,345,4,270,2020-09-15
PONCA CITY,343,10,256,2020-09-15
VINITA,340,1,97,2020-09-15
COWETA,303,13,259,2020-09-15
MCLOUD,302,1,274,2020-09-15
MUSTANG,294,2,259,2020-09-15
ANADARKO,291,5,252,2020-09-15
SKIATOOK,290,8,250,2020-09-15
OKMULGEE,289,3,238,2020-09-15
COLLINSVILLE,287,1,246,2020-09-15
CHOCTAW,271,3,216,2020-09-15
GROVE,268,17,216,2020-09-15
SALLISAW,266,2,215,2020-09-15
PURCELL,247,3,213,2020-09-15
ADA,242,1,198,2020-09-15
BLANCHARD,236,1,191,2020-09-15
CLINTON,234,0,198,2020-09-15
DUNCAN,227,3,163,2020-09-15
HENRYETTA,220,2,189,2020-09-15
HUGO,210,2,183,2020-09-15
WAGONER,209,5,180,2020-09-15
POTEAU,206,2,165,2020-09-15
ATOKA,204,0,128,2020-09-15
HEAVENER,194,6,166,2020-09-15
CUSHING,194,2,158,2020-09-15
HOMINY,186,2,173,2020-09-15
NOBLE,184,2,148,2020-09-15
HOLDENVILLE,182,3,150,2020-09-15
GUTHRIE,177,0,154,2020-09-15
MULDROW,173,3,144,2020-09-15
TUTTLE,168,2,139,2020-09-15
MIDWEST CITY,165,4,130,2020-09-15
SEMINOLE,163,3,130,2020-09-15
NEWCASTLE,162,3,138,2020-09-15
BRISTOW,157,6,133,2020-09-15
WEWOKA,157,1,134,2020-09-15
WARR ACRES,154,0,141,2020-09-15
PRYOR CREEK,152,4,132,2020-09-15
SPIRO,146,1,130,2020-09-15
WEATHERFORD,142,0,107,2020-09-15
HENNESSEY,140,2,129,2020-09-15
EUFAULA,139,2,113,2020-09-15
STIGLER,134,3,102,2020-09-15
PAULS VALLEY,130,1,117,2020-09-15
HINTON,129,0,123,2020-09-15
CHECOTAH,128,2,111,2020-09-15
TECUMSEH,127,0,92,2020-09-15
JAY,127,1,116,2020-09-15
CLEVELAND,125,3,116,2020-09-15
VIAN,123,3,94,2020-09-15
PIEDMONT,119,1,104,2020-09-15
CATOOSA,114,0,101,2020-09-15
SPENCER,112,1,98,2020-09-15
ELK CITY,111,1,80,2020-09-15
WOODWARD,109,0,71,2020-09-15
CHANDLER,109,8,89,2020-09-15
KINGFISHER,109,0,92,2020-09-15
LOCUST GROVE,107,0,89,2020-09-15
MADILL,106,1,92,2020-09-15
HARRAH,106,0,80,2020-09-15
HOOKER,106,0,101,2020-09-15
AFTON,105,0,95,2020-09-15
SPERRY,99,2,82,2020-09-15
DEL CITY,98,0,80,2020-09-15
MOUNDS,96,3,80,2020-09-15
FORT GIBSON,95,4,74,2020-09-15
CALERA,94,1,80,2020-09-15
INOLA,91,3,76,2020-09-15
MARIETTA,90,0,76,2020-09-15
NICHOLS HILLS,89,0,71,2020-09-15
MANNFORD,87,3,67,2020-09-15
CHELSEA,87,0,76,2020-09-15
WESTVILLE,85,2,78,2020-09-15
MANGUM,85,8,72,2020-09-15
HASKELL,85,1,74,2020-09-15
ROLAND,82,0,73,2020-09-15
DEWEY,82,1,76,2020-09-15
SALINA,81,1,64,2020-09-15
NOWATA,81,2,66,2020-09-15
WRIGHT CITY,80,0,61,2020-09-15
CHOUTEAU,80,5,62,2020-09-15
COMMERCE,79,0,62,2020-09-15
TALIHINA,79,3,66,2020-09-15
LINDSAY,76,2,65,2020-09-15
VALLIANT,76,1,60,2020-09-15
WYANDOTTE,76,1,60,2020-09-15
JONES,75,2,59,2020-09-15
PERKINS,75,1,60,2020-09-15
POCOLA,71,3,58,2020-09-15
MORRIS,70,0,58,2020-09-15
TEXHOMA,69,0,60,2020-09-15
HULBERT,67,2,50,2020-09-15
PRAGUE,66,0,61,2020-09-15
WASHINGTON,66,0,54,2020-09-15
OKEMAH,65,2,52,2020-09-15
BEGGS,65,0,50,2020-09-15
PAWNEE,65,0,60,2020-09-15
SULPHUR,64,1,56,2020-09-15
TISHOMINGO,64,2,54,2020-09-15
SAYRE,62,0,43,2020-09-15
ANTLERS,62,1,57,2020-09-15
HAWORTH,61,2,49,2020-09-15
COLCORD,60,1,53,2020-09-15
WISTER,60,0,45,2020-09-15
OOLOGAH,60,0,51,2020-09-15
FREDERICK,59,2,54,2020-09-15
KELLYVILLE,59,2,53,2020-09-15
COMANCHE,58,1,38,2020-09-15
WILBURTON,57,1,53,2020-09-15
PERRY,56,0,44,2020-09-15
HARTSHORNE,55,0,53,2020-09-15
STROUD,54,0,47,2020-09-15
GOODWELL,54,0,39,2020-09-15
GORE,53,1,28,2020-09-15
KANSAS,53,2,39,2020-09-15
KINGSTON,53,0,41,2020-09-15
BINGER,48,9,39,2020-09-15
WATONGA,48,0,38,2020-09-15
WALTERS,47,0,26,2020-09-15
COALGATE,47,0,45,2020-09-15
KEOTA,46,0,29,2020-09-15
LUTHER,46,0,33,2020-09-15
PAWHUSKA,46,0,43,2020-09-15
FAIRLAND,45,0,41,2020-09-15
